date,net_asset_value
2020-11-23,13172326.00
2020-11-24,12945291.00
2020-11-25,12634021.00
2020-11-26,12697856.00
2020-11-27,12727691.00
2020-11-30,12523776.00
2020-12-01,12720041.00
2020-12-02,12728626.00
2020-12-03,12822041.00
2020-12-04,13196976.00
2020-12-07,13360941.00
2020-12-08,13680541.00
2020-12-09,13595541.00
2020-12-10,13535191.00
2020-12-11,13425541.00
2020-12-14,13502041.00
2020-12-15,13391626.00
2020-12-16,13595541.00
2020-12-17,13812376.00
2020-12-18,13638041.00
2020-12-21,13616791.00
2020-12-22,13944041.00
2020-12-23,13609566.00
2020-12-24,13513431.00
2020-12-25,13510541.00
2020-12-28,13876041.00
2020-12-29,13825041.00
2020-12-30,14386041.00
2020-12-31,14938541.00
2021-01-04,14930041.00
2021-01-05,15460866.00
2021-01-06,15805541.00
2021-01-07,16145541.00
2021-01-08,15720541.00
2021-01-11,15803246.00
2021-01-12,16323191.00
2021-01-13,16349541.00
2021-01-14,16094541.00
2021-01-15,15652541.00
2021-01-18,15491041.00
2021-01-19,15035526.00
2021-01-20,15300896.00
2021-01-21,15550541.00
2021-01-22,15635116.00
2021-01-25,16443041.00
2021-01-26,16161606.00
2021-01-27,15712041.00
2021-01-28,15703541.00
2021-01-29,15943071.00
2021-02-01,15884761.00
2021-02-02,16188041.00
2021-02-03,16569776.00
2021-02-04,17682766.00
2021-02-05,17616041.00
2021-02-08,18090341.00
2021-02-09,18835196.00
2021-02-10,20064041.00
2021-02-18,18959041.00
2021-02-19,18865541.00
2021-02-22,17403711.00
2021-02-23,17565041.00
2021-02-24,16562041.00
2021-02-25,16230541.00
2021-02-26,15999171.00
2021-03-01,15999171.00
2021-03-02,15999171.00
2021-03-03,15999171.00
2021-03-04,15999171.00
2021-03-05,15999171.00
2021-03-08,15999171.00
2021-03-09,15999171.00
2021-03-10,15999171.00
2021-03-11,15999171.00
2021-03-12,15999171.00
2021-03-15,15999171.00
2021-03-16,15999171.00
2021-03-17,15999171.00
2021-03-18,15999171.00
2021-03-19,15999171.00
2021-03-22,15999171.00
2021-03-23,15999171.00
2021-03-24,15999171.00
2021-03-25,15999171.00
2021-03-26,15999171.00
2021-03-29,15999171.00
2021-03-30,15999171.00
2021-03-31,15999171.00
2021-04-01,16318671.00
2021-04-02,17376171.00
2021-04-06,17052441.00
2021-04-07,16467171.00
2021-04-08,16548171.00
2021-04-09,16098171.00
2021-04-12,15998181.00
2021-04-13,16107171.00
2021-04-14,16341171.00
2021-04-15,16341171.00
2021-04-16,16341171.00
2021-04-19,16341171.00
2021-04-20,16401011.00
2021-04-21,16270771.00
2021-04-22,16055171.00
2021-04-23,16525443.00
2021-04-26,16251587.00
2021-04-27,16397843.00
2021-04-28,15936371.00
2021-04-29,15798739.00
2021-04-30,15626435.00
2021-05-06,15626435.00
2021-05-07,15626435.00
2021-05-10,15626435.00
2021-05-11,15626435.00
2021-05-12,15626435.00
2021-05-13,15626435.00
2021-05-14,15626435.00
2021-05-17,15626435.00
2021-05-18,15626435.00
2021-05-19,15626435.00
2021-05-20,15711403.00
2021-05-21,15567095.00
2021-05-24,15818129.00
2021-05-25,16877735.00
2021-05-26,17097035.00
2021-05-27,17312035.00
2021-05-28,17183035.00
2021-05-31,17079835.00
2021-06-01,17277205.00
2021-06-02,17114235.00
2021-06-03,17116127.00
2021-06-04,17367935.00
2021-06-07,17535635.00
2021-06-08,16847635.00
2021-06-09,16920735.00
2021-06-10,17255963.00
2021-06-11,16742801.00
2021-06-15,16864835.00
2021-06-16,16563835.00
2021-06-17,16554461.00
2021-06-18,16554461.00
2021-06-21,16554461.00
2021-06-22,16554461.00
2021-06-23,16554461.00
2021-06-24,16554461.00
2021-06-25,16554461.00
2021-06-28,16554461.00
2021-06-29,16554461.00
2021-06-30,16554461.00
2021-07-01,16554461.00
2021-07-02,16554461.00
2021-07-05,16554461.00
2021-07-06,16554461.00
2021-07-07,16554461.00
2021-07-08,16554461.00
2021-07-09,16554461.00
2021-07-12,16554461.00
2021-07-13,16554461.00
2021-07-14,16554461.00
2021-07-15,16554461.00
2021-07-16,16554461.00
2021-07-19,16554461.00
2021-07-20,16554461.00
2021-07-21,16554461.00
2021-07-22,16554461.00
2021-07-23,16554461.00
2021-07-26,16554461.00
2021-07-27,16554461.00
2021-07-28,16554461.00
2021-07-29,16554461.00
2021-07-30,16554461.00
2021-08-02,16554461.00
2021-08-03,16554461.00
2021-08-04,16554461.00
2021-08-05,16554461.00
2021-08-06,16554461.00
2021-08-09,16554461.00
2021-08-10,16554461.00
2021-08-11,16554461.00
2021-08-12,16554461.00
2021-08-13,16554461.00
2021-08-16,16554461.00
2021-08-17,16554461.00
2021-08-18,16554461.00
2021-08-19,16554461.00
2021-08-20,16554461.00
2021-08-23,16554461.00
2021-08-24,16554461.00
2021-08-25,16554461.00
2021-08-26,16554461.00
2021-08-27,16554461.00
2021-08-30,16554461.00
2021-08-31,16554461.00
2021-09-01,16554461.00
2021-09-02,16554461.00
2021-09-03,16554461.00
2021-09-06,16554461.00
2021-09-07,16554461.00
2021-09-08,16145201.00
2021-09-09,16156373.00
2021-09-10,16481273.00
2021-09-13,16383461.00
2021-09-14,16417661.00
2021-09-15,15947297.00
2021-09-16,16201859.00
2021-09-17,16748261.00
2021-09-22,16197527.00
2021-09-23,16166861.00
2021-09-24,16839461.00
2021-09-27,18674861.00
2021-09-28,18299345.00
