date,close
2020-01-02,870.74
2020-01-03,819.3
2020-01-06,818.73
2020-01-07,835.27
2020-01-08,828.88
2020-01-09,843.44
2020-01-10,853.24
2020-01-13,865.01
2020-01-14,848.14
2020-01-15,852.87
2020-01-16,847.74
2020-01-17,848.24
2020-01-20,831.74
2020-01-21,816.04
2020-01-22,816.25
2020-01-23,793.54
2020-02-03,744.66
2020-02-04,778.75
2020-02-05,790.73
2020-02-06,811.74
2020-02-07,816.74
2020-02-10,807.23
2020-02-11,838.74
2020-02-12,838.01
2020-02-13,831.74
2020-02-14,828.74
2020-02-17,834.56
2020-02-18,824.74
2020-02-19,837.24
2020-02-20,858.74
2020-02-21,853.62
2020-02-24,827.92
2020-02-25,815.55
2020-02-26,814.44
2020-02-27,828.13
2020-02-28,797.74
2020-03-02,826.75
2020-03-03,853.74
2020-03-04,869.66
2020-03-05,911.74
2020-03-06,896.24
2020-03-09,854.75
2020-03-10,896.74
2020-03-11,899.26
2020-03-12,879.24
2020-03-13,852.77
2020-03-16,807.74
2020-03-17,785.84
2020-03-18,748.73
2020-03-19,736.74
2020-03-20,776.02
2020-03-23,759.74
2020-03-24,796.74
2020-03-25,820.84
2020-03-26,805.66
2020-03-27,816.24
2020-03-30,812.74
2020-03-31,851.74
2020-04-01,843.74
2020-04-02,885.74
2020-04-03,880.53
2020-04-07,900.69
2020-04-08,900.5
2020-04-09,899.24
2020-04-10,905.74
2020-04-13,903.04
2020-04-14,925.84
2020-04-15,930.34
2020-04-16,937.84
2020-04-17,966.74
2020-04-20,968.04
2020-04-21,940.74
2020-04-22,985.24
2020-04-23,993.0
2020-04-24,991.3
2020-04-27,1016.74
2020-04-28,1019.87
2020-04-29,1015.64
2020-04-30,1006.44
2020-05-06,1040.74
2020-05-07,1052.74
2020-05-08,1055.35
2020-05-11,1063.75
2020-05-12,1073.74
2020-05-13,1076.69
2020-05-14,1067.33
2020-05-15,1053.74
2020-05-18,1086.95
2020-05-19,1086.85
2020-05-20,1091.74
2020-05-21,1106.84
2020-05-22,1068.94
2020-05-25,1103.64
2020-05-26,1098.74
2020-05-27,1078.74
2020-05-28,1084.74
2020-05-29,1107.34
2020-06-01,1160.24
2020-06-02,1151.45
2020-06-03,1140.04
2020-06-04,1148.73
2020-06-05,1165.74
2020-06-08,1146.84
2020-06-09,1157.29
2020-06-10,1164.4
2020-06-11,1141.2
2020-06-12,1157.11
2020-06-15,1123.74
2020-06-16,1144.62
2020-06-17,1145.74
2020-06-18,1153.74
2020-06-19,1180.58
2020-06-22,1179.74
2020-06-23,1215.24
2020-06-24,1217.78
2020-06-29,1220.94
2020-06-30,1220.65
2020-07-01,1252.04
2020-07-02,1301.77
2020-07-03,1299.56
2020-07-06,1357.77
2020-07-07,1445.77
2020-07-08,1439.11
2020-07-09,1463.77
2020-07-10,1471.62
2020-07-13,1539.76
2020-07-14,1519.77
2020-07-15,1510.3
2020-07-16,1371.77
2020-07-17,1405.82
2020-07-20,1394.73
2020-07-21,1425.77
2020-07-22,1435.85
2020-07-23,1433.77
2020-07-24,1353.07
2020-07-27,1380.32
2020-07-28,1427.77
2020-07-29,1429.77
2020-07-30,1437.77
2020-07-31,1435.95
2020-08-03,1425.77
2020-08-04,1427.76
2020-08-05,1425.77
2020-08-06,1395.73
2020-08-07,1388.77
2020-08-10,1391.76
2020-08-11,1400.28
2020-08-12,1384.72
2020-08-13,1392.77
2020-08-14,1418.77
2020-08-17,1447.77
2020-08-18,1462.77
2020-08-19,1444.77
2020-08-20,1421.77
2020-08-21,1433.77
2020-08-24,1454.12
2020-08-25,1484.77
2020-08-26,1484.77
2020-08-27,1488.77
2020-08-28,1514.77
2020-08-31,1544.27
2020-09-01,1559.75
2020-09-02,1552.77
2020-09-03,1550.77
2020-09-04,1527.77
2020-09-07,1481.27
2020-09-08,1469.17
2020-09-09,1445.77
2020-09-10,1463.57
2020-09-11,1490.77
2020-09-14,1523.77
2020-09-15,1517.77
2020-09-16,1482.87
2020-09-17,1428.29
2020-09-18,1452.77
2020-09-21,1424.57
2020-09-22,1423.46
2020-09-23,1407.75
2020-09-24,1387.09
2020-09-25,1392.88
2020-09-28,1418.77
2020-09-29,1410.07
2020-09-30,1426.27
2020-10-09,1453.77
2020-10-12,1508.38
2020-10-13,1496.77
2020-10-14,1486.77
2020-10-15,1482.77
2020-10-16,1469.77
2020-10-19,1456.77
2020-10-20,1491.77
2020-10-21,1491.1
2020-10-22,1500.27
2020-10-23,1473.1
2020-10-26,1400.77
2020-10-27,1382.77
2020-10-28,1422.58
2020-10-29,1433.77
2020-10-30,1427.79
2020-11-02,1431.78
2020-11-03,1452.77
2020-11-04,1457.35
2020-11-05,1479.67
2020-11-06,1458.39
2020-11-09,1500.34
2020-11-10,1502.77
2020-11-11,1489.12
2020-11-12,1492.56
2020-11-13,1462.77
2020-11-16,1487.82
2020-11-17,1473.57
2020-11-18,1451.42
2020-11-19,1477.96
2020-11-20,1477.73
2020-11-23,1547.98
2020-11-24,1521.27
2020-11-25,1484.65
2020-11-26,1492.16
2020-11-27,1495.67
2020-11-30,1471.68
2020-12-01,1494.77
2020-12-02,1495.78
2020-12-03,1506.77
2020-12-04,1550.88
2020-12-07,1570.17
2020-12-08,1607.77
2020-12-09,1597.77
2020-12-10,1590.67
2020-12-11,1577.77
2020-12-14,1586.77
2020-12-15,1573.78
2020-12-16,1597.77
2020-12-17,1623.28
2020-12-18,1602.77
2020-12-21,1600.27
2020-12-22,1638.77
2020-12-23,1599.42
2020-12-24,1588.11
2020-12-25,1587.77
2020-12-28,1630.77
2020-12-29,1624.77
2020-12-30,1690.77
2020-12-31,1755.77
2021-01-04,1754.77
2021-01-05,1817.22
2021-01-06,1857.77
2021-01-07,1897.77
2021-01-08,1847.77
2021-01-11,1857.5
2021-01-12,1918.67
2021-01-13,1921.77
2021-01-14,1891.77
2021-01-15,1839.77
2021-01-18,1820.77
2021-01-19,1767.18
2021-01-20,1798.4
2021-01-21,1827.77
2021-01-22,1837.72
2021-01-25,1932.77
2021-01-26,1899.66
2021-01-27,1846.77
2021-01-28,1845.77
2021-01-29,1873.95
2021-02-01,1867.09
2021-02-02,1902.77
2021-02-03,1947.68
2021-02-04,2078.62
2021-02-05,2070.77
2021-02-08,2126.57
2021-02-09,2214.2
2021-02-10,2358.77
2021-02-18,2228.77
2021-02-19,2217.77
2021-02-22,2045.79
2021-02-23,2064.77
2021-02-24,1946.77
2021-02-25,1907.77
2021-02-26,1880.55
2021-03-01,1915.77
2021-03-02,1815.77
2021-03-03,1897.77
2021-03-04,1790.77
2021-03-05,1817.88
2021-03-08,1717.77
2021-03-09,1694.76
2021-03-10,1727.78
2021-03-11,1805.77
2021-03-12,1783.77
2021-03-15,1733.22
2021-03-16,1768.27
2021-03-17,1788.13
2021-03-18,1827.47
2021-03-19,1767.77
2021-03-22,1747.76
2021-03-23,1753.77
2021-03-24,1746.77
2021-03-25,1728.77
2021-03-26,1770.77
2021-03-29,1791.87
2021-03-30,1813.82
2021-03-31,1766.77
2021-04-01,1802.27
2021-04-02,1919.77
2021-04-06,1883.8
2021-04-07,1818.77
2021-04-08,1827.77
2021-04-09,1777.77
2021-04-12,1766.66
2021-04-13,1778.77
2021-04-14,1804.77
2021-04-15,1773.37
2021-04-16,1812.75
2021-04-19,1845.77
2021-04-20,1852.57
2021-04-21,1837.77
2021-04-22,1813.27
2021-04-23,1866.71
2021-04-26,1835.59
2021-04-27,1852.21
